article_id,entity_mention,main_role,predicted_main_role
RU-URW-1137.txt,Мария Захарова,Protagonist,Antagonist
RU-URW-1109.txt,Киев,Antagonist,Innocent
RU-URW-1029.txt,США,Antagonist,Protagonist
RU-URW-1062.txt,НАТО,Antagonist,Antagonist
RU-URW-1065.txt,Россия,Innocent,Antagonist
RU-URW-1070.txt,Запада,Antagonist,Innocent
RU-URW-1022.txt,Запада,Antagonist,Innocent
RU-URW-1145.txt,Сергей Шойгу,Protagonist,Antagonist
RU-URW-1028.txt,киевских властей,Antagonist,Antagonist
RU-URW-1119.txt,Нидерланды,Antagonist,Innocent
RU-URW-1119.txt,Россия,Protagonist,Antagonist
RU-URW-1062.txt,Андрей Климов,Protagonist,Antagonist
RU-URW-1019.txt,Запад,Antagonist,Innocent
RU-URW-1025.txt,Командиры ВСУ,Antagonist,Innocent
RU-URW-1039.txt,ВСУ,Antagonist,Antagonist
RU-URW-1115.txt,бизнеса,Protagonist,Innocent
RU-URW-1134.txt,демократы-глобалисты,Antagonist,Innocent
RU-URW-1013.txt,Украины,Innocent,Antagonist
RU-URW-1005.txt,Николай Стариков,Protagonist,Antagonist
RU-URW-1173.txt,Джо Байден,Antagonist,Innocent
RU-URW-1047.txt,"военный эксперт, полковник",Protagonist,Antagonist
RU-URW-1138.txt,НАТО,Antagonist,Protagonist
RU-URW-1142.txt,Генсек НАТО,Antagonist,Innocent
RU-URW-1122.txt,СК РФ,Protagonist,Protagonist
RU-URW-1036.txt,спецслужбы Украины,Antagonist,Innocent
RU-URW-1119.txt,Дания,Antagonist,Innocent
RU-URW-1138.txt,России,Innocent,Protagonist
RU-URW-1143.txt,Украине,Antagonist,Antagonist
RU-URW-1156.txt,Россией,Protagonist,Antagonist
RU-URW-1086.txt,вооруженные силы Украины,Antagonist,Antagonist
RU-URW-1035.txt,Украина,Innocent,Antagonist
RU-URW-1075.txt,Белоруссии,Antagonist,Antagonist
RU-URW-1080.txt,Трамп,Protagonist,Innocent
RU-URW-1163.txt,Златомира Девленского,Innocent,Antagonist
RU-URW-1045.txt,Украины,Antagonist,Innocent
RU-URW-1018.txt,западных стран,Antagonist,Antagonist
RU-URW-1017.txt,Европейского союза,Antagonist,Antagonist
RU-URW-1131.txt,Лариса Толстыкина,Protagonist,Protagonist
RU-URW-1169.txt,Виктор Орбан,Protagonist,Innocent
RU-URW-1080.txt,Ермак,Antagonist,Protagonist
RU-URW-1035.txt,Игорь Лапин,Innocent,Antagonist
RU-URW-1017.txt,Украины,Antagonist,Antagonist
RU-URW-1155.txt,"""Азов",Antagonist,Innocent
RU-URW-1128.txt,ШОС,Protagonist,Innocent
RU-URW-1083.txt,ВСУ,Antagonist,Antagonist
RU-URW-1039.txt,Министерство обороны РФ,Protagonist,Antagonist
RU-URW-1158.txt,премьеру Индии,Protagonist,Innocent
RU-URW-1072.txt,Китаю,Protagonist,Innocent
RU-URW-1033.txt,ВСУ,Antagonist,Antagonist
RU-URW-1195.txt,Белгородской,Innocent,Antagonist
RU-URW-1176.txt,Мила Бараева,Protagonist,Antagonist
RU-URW-1021.txt,Украины,Innocent,Protagonist
RU-URW-1037.txt,Белоруссии,Protagonist,Antagonist
RU-URW-1095.txt,Зеленского,Antagonist,Innocent
RU-URW-1155.txt,Украине,Innocent,Innocent
RU-URW-1050.txt,Украине,Antagonist,Innocent
RU-URW-1169.txt,Орбана,Protagonist,Innocent
RU-URW-1138.txt,США,Antagonist,Protagonist
RU-URW-1008.txt,Торецком,Innocent,Antagonist
RU-URW-1159.txt,Владимир Кузьмин,Protagonist,Innocent
RU-URW-1115.txt,академического сообщества,Protagonist,Innocent
RU-URW-1027.txt,власти Эстонии,Antagonist,Innocent
RU-URW-1095.txt,Орбан,Protagonist,Innocent
RU-URW-1106.txt,командование французской армии,Antagonist,Innocent
RU-URW-1156.txt,Москва,Protagonist,Antagonist
RU-URW-1048.txt,Вооруженных сил Украины,Antagonist,Innocent
RU-URW-1138.txt,Джо Байден,Antagonist,Innocent
RU-URW-1029.txt,Никол Пашинян,Antagonist,Protagonist
RU-URW-1079.txt,Йенс Столтенберг,Antagonist,Innocent
RU-URW-1071.txt,Сидор Ковпак,Protagonist,Antagonist
RU-URW-1044.txt,МЧС России,Protagonist,Antagonist
RU-URW-1078.txt,Украину,Innocent,Innocent
RU-URW-1063.txt,Совет Федераций,Protagonist,Antagonist
RU-URW-1124.txt,Франция,Antagonist,Innocent
RU-URW-1033.txt,Горловку,Innocent,Antagonist
