article_id,entity_mention,main_role,predicted_main_role
HI_314.txt,बांग्लादेश,Antagonist,Antagonist
HI_121.txt,पश्चिमी देशों,Antagonist,Protagonist
HI_119.txt,मेइतेई,Innocent,Innocent
HI_49.txt,वादिम कसीकोव,Antagonist,Protagonist
HI_388.txt,पुतिन,Protagonist,Antagonist
HI_307.txt,दक्षिण कोरिया,Antagonist,Innocent
HI_254.txt,पुतिन,Protagonist,Protagonist
HI_182.txt,यूक्रेन,Innocent,Antagonist
HI_122.txt,व्लादिमीर पुतिन,Antagonist,Innocent
HI_105.txt,जनरल स्टाफ,Protagonist,Innocent
HI_3.txt,पॉल व्हेलन,Innocent,Innocent
HI_280.txt,डोभाल,Protagonist,Innocent
HI_61.txt,भारत,Antagonist,Innocent
HI_46.txt,ग्लोबल साउथ,Protagonist,Innocent
HI_153.txt,जनरल स्टाफ,Protagonist,Antagonist
HI_274.txt,यूक्रेनियों,Innocent,Antagonist
HI_316.txt,पुतिन,Protagonist,Protagonist
HI_173.txt,पश्चिम,Antagonist,Innocent
HI_6.txt,जेलेंस्की,Innocent,Antagonist
HI_320.txt,क्राइमिया,Innocent,Innocent
HI_274.txt,रूस,Antagonist,Antagonist
HI_81.txt,नाटो चार्टर,Protagonist,Innocent
HI_348.txt,अमेरिका,Antagonist,Protagonist
HI_224.txt,अजीत डोभाल,Protagonist,Innocent
HI_385.txt,अमेरिका,Protagonist,Innocent
HI_155.txt,नरेंद्र मोदी सरकार,Protagonist,Antagonist
HI_222.txt,पुतिन,Protagonist,Antagonist
HI_104.txt,पुतिन,Antagonist,Innocent
HI_173.txt,पुतिन,Protagonist,Innocent
HI_102.txt,पोलटावा,Innocent,Antagonist
HI_128.txt,व्लादिमीर पुतिन,Antagonist,Innocent
HI_386.txt,पश्चिमी देशों,Antagonist,Protagonist
HI_70.txt,पाकिस्तान,Protagonist,Innocent
HI_314.txt,हिंदुओं,Innocent,Antagonist
HI_42.txt,रूसी सेना,Antagonist,Antagonist
HI_319.txt,यूक्रेन,Protagonist,Innocent
HI_396.txt,बाइडेन,Antagonist,Innocent
HI_70.txt,अमेरिका,Antagonist,Antagonist
HI_227.txt,रूस,Antagonist,Antagonist
HI_66.txt,मॉस्को,Protagonist,Antagonist
HI_360.txt,ट्रंप,Protagonist,Antagonist
HI_7.txt,व्लादिमीर पुतिन,Protagonist,Innocent
HI_331.txt,यूक्रेनी सेना,Protagonist,Antagonist
HI_318.txt,पश्चिमी देशों,Antagonist,Protagonist
HI_235.txt,गाजा,Innocent,Antagonist
HI_385.txt,पुतिन,Protagonist,Innocent
HI_201.txt,भारत,Protagonist,Protagonist
HI_55.txt,अमेरिका,Protagonist,Innocent
HI_307.txt,उत्तर कोरियाई सैनिक,Protagonist,Antagonist
HI_77.txt,शहर प्रशासन,Protagonist,Protagonist
HI_52.txt,भारतीय नागरिकों,Innocent,Protagonist
HI_124.txt,रूस,Antagonist,Innocent
HI_332.txt,रूस,Antagonist,Antagonist
HI_44.txt,मोदी,Protagonist,Protagonist
HI_104.txt,यूक्रेन,Innocent,Innocent
HI_157.txt,खार्किव,Innocent,Innocent
HI_101.txt,यूक्रेनियन,Innocent,Antagonist
HI_205.txt,यूक्रेन,Innocent,Antagonist
HI_309.txt,रूस,Protagonist,Innocent
HI_37.txt,मोदी,Protagonist,Antagonist
HI_245.txt,मार्क रूते,Protagonist,Antagonist
HI_112.txt,यूरोप,Innocent,Antagonist
HI_3.txt,इवान गेर्शकोविच,Innocent,Antagonist
HI_2.txt,मोदी,Protagonist,Protagonist
HI_52.txt,भारतीय नागरिक,Protagonist,Innocent
HI_195.txt,नई दिल्ली,Protagonist,Innocent
HI_277.txt,जासूस,Protagonist,Antagonist
HI_117.txt,अबू बकर अल-बगदादी,Antagonist,Innocent
HI_279.txt,यूक्रेन,Protagonist,Innocent
HI_23.txt,यूक्रेनी,Protagonist,Antagonist
HI_83.txt,भारत,Protagonist,Protagonist
HI_201.txt,व्लादिमीर पुतिन,Protagonist,Protagonist
HI_153.txt,सेवरोडोनेट्स,Innocent,Protagonist
HI_119.txt,मणिपुर,Innocent,Antagonist
HI_116.txt,अमेरिका,Antagonist,Antagonist
HI_197.txt,लड़ाकों,Protagonist,Antagonist
HI_70.txt,व्लादिमीर पुतिन,Antagonist,Antagonist
HI_259.txt,जेलेंस्की,Protagonist,Protagonist
HI_193.txt,भारत,Protagonist,Protagonist
HI_61.txt,अमेरिका,Antagonist,Innocent
HI_325.txt,डेमोक्रेटिक पार्टी,Antagonist,Innocent
HI_121.txt,नरेंद्र मोदी,Protagonist,Protagonist
HI_254.txt,मोदी,Protagonist,Protagonist
HI_257.txt,रूस के रक्षा मंत्रालय,Protagonist,Antagonist
HI_16.txt,भारतीयों,Innocent,Antagonist
HI_311.txt,नाटो,Protagonist,Innocent
HI_396.txt,नाटो,Antagonist,Antagonist
HI_398.txt,यूक्रेन,Protagonist,Antagonist
HI_231.txt,केंद्र सरकार,Protagonist,Protagonist
HI_318.txt,पुतिन,Protagonist,Protagonist
HI_123.txt,चीन,Antagonist,Protagonist
HI_161.txt,व्लादिमीर पुतिन,Protagonist,Protagonist
HI_123.txt,मोदी,Protagonist,Antagonist
HI_27.txt,मणिपुर,Innocent,Innocent
HI_116.txt,नॉर्वे,Innocent,Innocent
HI_320.txt,यूक्रेन,Protagonist,Innocent
HI_306.txt,सेना,Protagonist,Innocent
HI_87.txt,एस जयशंकर,Protagonist,Innocent
HI_278.txt,रूस,Antagonist,Antagonist
HI_117.txt,रूस,Antagonist,Antagonist
HI_94.txt,चेक गणराज्य,Antagonist,Protagonist
HI_173.txt,मॉस्को,Protagonist,Innocent
HI_257.txt,सर्गेई सोब्यानिन,Protagonist,Antagonist
HI_22.txt,इजराइल,Antagonist,Antagonist
HI_391.txt,डोनाल्ड ट्रंप,Protagonist,Innocent
HI_204.txt,यूक्रेन,Protagonist,Protagonist
HI_22.txt,यूक्रेन,Innocent,Antagonist
HI_300.txt,मानव जीवन,Innocent,Antagonist
HI_108.txt,डोनाल्ड ट्रंप,Antagonist,Innocent
HI_24.txt,उक्रेन,Innocent,Antagonist
HI_147.txt,भारत,Protagonist,Protagonist
HI_378.txt,यूक्रेन,Protagonist,Antagonist
HI_305.txt,रूसी सैनिक,Antagonist,Innocent
HI_222.txt,यूक्रेनी पक्ष,Antagonist,Protagonist
HI_281.txt,यूक्रेन,Antagonist,Innocent
HI_100.txt,यूक्रेनी,Protagonist,Protagonist
HI_145.txt,इंडोनेशिया की सरकार,Protagonist,Antagonist
HI_308.txt,चोए सोन हुई,Protagonist,Protagonist
HI_174.txt,किरिलो बुडानोव,Protagonist,Antagonist
HI_244.txt,अमेरिका,Antagonist,Innocent
HI_281.txt,यूक्रेनी कंपनियां,Antagonist,Innocent
HI_301.txt,रूस,Antagonist,Innocent
HI_229.txt,रूस,Antagonist,Antagonist
HI_266.txt,यूक्रेनी सेना,Protagonist,Innocent
HI_264.txt,रूस,Antagonist,Protagonist
HI_66.txt,रूस,Antagonist,Innocent
HI_105.txt,यूक्रेन,Innocent,Antagonist
HI_389.txt,यूरोपीय सहयोगियों,Antagonist,Innocent
HI_48.txt,अल-कायदा,Antagonist,Antagonist
HI_85.txt,रूसी सेना,Antagonist,Protagonist
HI_180.txt,यूक्रेन,Protagonist,Innocent
HI_172.txt,व्लादिमीर पुतिन,Antagonist,Innocent
HI_223.txt,यूक्रेन,Antagonist,Innocent
HI_238.txt,उत्तराखंड,Innocent,Innocent
HI_357.txt,यूक्रेनी,Innocent,Antagonist
HI_206.txt,एडवर्ड स्नोडेन,Protagonist,Antagonist
HI_164.txt,यूक्रेन,Protagonist,Innocent
HI_2.txt,यूक्रेन,Innocent,Protagonist
HI_269.txt,रूस,Protagonist,Antagonist
HI_40.txt,वादिम,Antagonist,Antagonist
HI_123.txt,यूक्रेन,Innocent,Antagonist
HI_176.txt,नाटो मास्टर्स,Antagonist,Antagonist
HI_168.txt,भारत,Protagonist,Antagonist
HI_188.txt,नरेन्द्र मोदी,Protagonist,Antagonist
HI_275.txt,भारत,Protagonist,Antagonist
HI_39.txt,यूक्रेन,Innocent,Antagonist
HI_223.txt,रूस,Antagonist,Innocent
HI_385.txt,रूस,Antagonist,Antagonist
HI_214.txt,अमेरिका,Protagonist,Antagonist
HI_387.txt,यूक्रेन,Protagonist,Protagonist
HI_187.txt,रूस,Antagonist,Antagonist
HI_87.txt,रूस,Antagonist,Innocent
HI_257.txt,मॉस्को,Innocent,Innocent
HI_226.txt,बाइडेन,Antagonist,Protagonist
HI_66.txt,यूक्रेन,Innocent,Innocent
HI_46.txt,भारत,Protagonist,Innocent
HI_341.txt,ओल्गा ओनुच,Protagonist,Innocent
HI_173.txt,रूस,Protagonist,Antagonist
HI_396.txt,जो बाइडेन प्रशासन,Antagonist,Antagonist
HI_91.txt,सारातोव,Innocent,Antagonist
HI_309.txt,अमेरिका,Protagonist,Innocent
HI_24.txt,मोदी,Protagonist,Innocent
HI_106.txt,रूस,Protagonist,Antagonist
HI_27.txt,नरेंद्र मोदी,Antagonist,Antagonist
HI_30.txt,ओरबान,Antagonist,Innocent
HI_135.txt,भारत,Protagonist,Innocent
HI_27.txt,दिल्ली मेईतेई समन्वय समिति (डीएमसीसी,Protagonist,Antagonist
HI_174.txt,उत्तर कोरिया,Antagonist,Protagonist
HI_312.txt,अमेरिका,Antagonist,Antagonist
HI_311.txt,उत्तर कोरिया,Protagonist,Innocent
HI_124.txt,पोलैंड,Protagonist,Antagonist
HI_203.txt,अमेरिका,Protagonist,Protagonist
HI_204.txt,नौजवानों,Innocent,Protagonist
HI_105.txt,रूसी सेना,Antagonist,Protagonist
HI_264.txt,डोनेट्स्क,Innocent,Protagonist
HI_272.txt,पुतिन,Antagonist,Innocent
HI_285.txt,किम जोंग,Antagonist,Protagonist
HI_103.txt,अमेरिका,Protagonist,Antagonist
